	Stance
2211	AGAINST
2212	AGAINST
2213	AGAINST
2214	AGAINST
2215	NONE
2216	NONE
2217	AGAINST
2218	AGAINST
2219	NONE
2220	FAVOR
2221	AGAINST
2222	FAVOR
2223	AGAINST
2224	FAVOR
2225	FAVOR
2226	AGAINST
2227	AGAINST
2228	AGAINST
2229	AGAINST
2230	NONE
2231	AGAINST
2232	NONE
2233	FAVOR
2234	AGAINST
2235	FAVOR
2236	AGAINST
2237	FAVOR
2238	FAVOR
2239	FAVOR
2240	FAVOR
2241	AGAINST
2242	FAVOR
2243	NONE
2244	FAVOR
2245	FAVOR
2246	NONE
2247	NONE
2248	NONE
2249	FAVOR
2250	FAVOR
2251	FAVOR
2252	FAVOR
2253	FAVOR
2254	AGAINST
2255	NONE
2256	NONE
2257	AGAINST
2258	AGAINST
2259	NONE
2260	FAVOR
2261	NONE
2262	AGAINST
2263	AGAINST
2264	NONE
2265	AGAINST
2266	FAVOR
2267	FAVOR
2268	AGAINST
2269	AGAINST
2270	NONE
2271	AGAINST
2272	AGAINST
2273	AGAINST
2274	AGAINST
2275	NONE
2276	AGAINST
2277	NONE
2278	NONE
2279	AGAINST
2280	NONE
2281	AGAINST
2282	AGAINST
2283	AGAINST
2284	NONE
2285	NONE
2286	NONE
2287	NONE
2288	AGAINST
2289	AGAINST
2290	NONE
2291	FAVOR
2292	AGAINST
2293	AGAINST
2294	NONE
2295	NONE
2296	AGAINST
2297	AGAINST
2298	FAVOR
2299	NONE
2300	NONE
2301	AGAINST
2302	NONE
2303	FAVOR
2304	AGAINST
2305	NONE
2306	NONE
2307	NONE
2308	FAVOR
2309	NONE
2310	NONE
2311	AGAINST
2312	FAVOR
2313	AGAINST
2314	AGAINST
2315	AGAINST
2316	FAVOR
2317	FAVOR
2318	FAVOR
2319	AGAINST
2320	NONE
2321	AGAINST
2322	AGAINST
2323	NONE
2324	NONE
2325	AGAINST
2326	FAVOR
2327	NONE
2328	AGAINST
2329	FAVOR
2330	NONE
2331	FAVOR
2332	FAVOR
2333	NONE
2334	AGAINST
2335	NONE
2336	NONE
2337	AGAINST
