index,text,label
205,@johnpodesta @HillaryClinton awesome every true chef needs this.. Go Hillary #SemST,AGAINST
232,Great convo last night w/ @schoolbus_soul & @zaksteib Great connections in #Waverly & on my #turf! #FellowsIA #CommitToCaucus #SemST,NONE
85,The Kool-Aid drinking leftanistas continue to close ranks with support for Madame Secretary. WTF? Hillary is a fraud full of lies. #SemST,AGAINST
435,"Apparently, putting cocaine in someone's butthole and then waiting for them to fart in your face is the wrong way to get high. #SemST",NONE
259,"RT @muradguderian: Democrats are Red, Obama is a Communist, I'm a true Patriot, So stop Hillary.  #tcot #SemST",AGAINST
206,Volunteer with  your local campaign this weekend! Help build Team Hillary - march w/ us in Bethesda! @AdamParkhomenko #MD #SemST,FAVOR
277,Do we call Bill Mr President...the first 1st man of Or mr president the 1st man? Lol #imreadyforhillary #SemST,FAVOR
326,I'm 19 years old and care about politics and elections.... I feel like I'm 67 years old #SemST,NONE
410,"We're out here in G-town, and where are you  #sctweets #SemST",NONE
53,@washingtonpost sir sory mae bi bharat mool ka hu par my hart is for democraet and #SemST,NONE
193,The guy in the multicolored shirt looks chi as fuck. #SemST,AGAINST
122,I am just full of myself tonight  #tofunny #funny #funnier #hilarious #HilaryDuff #QuotesOfTheDay #quotestoliveby #quotes #SemST,NONE
380,"#BENGHAZI WAIT DID I SAY ""THANK GOD?"" VOTERS? SRY!! MT!! I MEANT ""THANK GOODNESS!"" NO OFFENSE INTENDED! ##tcot #SemST",AGAINST
462,"HillaryClinton Next up for legalization: Your pet goat, or your #pedophile neighbor 'dating' the 9 year old next door.. #SemST",AGAINST
152,@ChrisChristie couldn't run his way out of a paper bag let alone beat #HillaryClinton. Go home Chris u r drunk. #ChrisChristie #SemST,FAVOR
420,@jhewitt1280 @SpeakerBoehner @HouseBenghazi @TGowdySC What her emails? They released the rest all very boring. #SemST,AGAINST
396,@HillaryIn2016 hey I just checked your blog. Kudos! Keep it up! #SemST,AGAINST
188,Do you know what would REALLY PISS .@HillaryClinton OFF?  .@VP .@JoeBiden runs against her. LMAO!   #WakeUpAmerica No longer is #SemST,AGAINST
489,@occupycorruptDC she ain't no ways tired of being a dumbass #SemST,NONE
229,@awj9009 not at all I think the statute of limitations has expired plus I can always have a driver ala #SemST,NONE
374,Kind of scares me that there are still thousands of emails that have not been released from Hillary's private emails.  #SemST,AGAINST
351,"Also, I finally moved to @FDCITY today! Will be much easier to get around going forward! #moving #SemST",NONE
441,Grateful for the chance to tell the world about my love of many flavors of ice cream! #WakeUpAmerica #SemST,AGAINST
473,@NumbersMuncher @HillaryClinton She's the animal!! She's also a sellout!!! Ppl that vote for her are sellouts!! #NoHillary2016 #SemST,AGAINST
470,Whoever is up now let it be known that support for #MarcoRubio never sleeps! We promote the #NewAmericanCentury 24/7 #Texas #TX #SemST,AGAINST
471,"@nytimes was that ""awkwardness"" or ""awfulness""? I think the latter #SemST",AGAINST
126,@businessinsider One thing that's painful is the mindless minutiae her strap hanging cling-ons force her to endure. #huma #SemST,AGAINST
173,@HillaryClinton Awesome video!  Vote for Chelsea's mom. #SemST,FAVOR
260,@HRCSnowShovel it must be hard work burying the @HillaryClinton anti-LGBT rights record #LoveWins #FeelTheBern #SemST,AGAINST
251,"Jimmy Fallon music playing. Thank you .... #DonaldTrump  ... for driving Latinos and Gays out to vote by the millions.  Love,  #SemST",NONE
389,@lajouetreine @KarrattiPaul I'm not a Genitalian #SemST,NONE
499,@46drhouse - Be interesting to see how Hillary defends same when questioned.  She will eventually have to answer questions. #SemST,AGAINST
450,Is there a Govt restart button? Someone needs to push that thing. #RememberBenghazi2016 #PatriotsWillRise #SemST,NONE
25,@Froquesha u get me that book yea?  #SemST,NONE
16,"Would you wanna be in a long term relationship with some bitch that hides her emails, & lies to your face? Then #Dontvote #SemST",AGAINST
401,"@JW4Hillary @MrDane1982 I choose ""it takes a village! #SemST",AGAINST
24,"Denial. It works for Hillary, why not the Mayor of #Baltimore. #DemocratLiesMatter #SemST",AGAINST
144,"@zacharyebell Thank you 4the follow. God bless you and those you love! God bless America, may she always be the land of the free! #SemST",NONE
200,@StateDept @AmbCathyRussell @AdamSmith_USA @HillaryClinton @HillaryforIA @BarackObama The whole #world is supporting you. #SemST,FAVOR
19,Madam President Clinton; you have all the gays vote. #jarrid #SemST,FAVOR
154,@politico   YAWNzzzzzzzzzzzzzz could keep the z's going for the full amt of Tweet characters but you get the point. #SemST,AGAINST
488,How many poor kids could $2.5 billion feed? #SemST,NONE
238,"This Friday is, officially, Political Incorrectness day! All day say whatever you want and offend everyone! Yay! #tcot #2A #PC  #SemST",NONE
393,I wish Bernie's fans would stop screaming. #Bernie2016 #SemST,AGAINST
261,"@Lawrence @TheLastWord There is no enthusiasm gap, Mr. Lawrence!    -@TheHRCSuperVols   @JW4Hillary @kimfrederi #Hillarymen #SemST",AGAINST
234,"So glad @ChrisChristie has announced his candidacy - fits right in with all the other ""qualifies"" republicans on the list. #SemST",AGAINST
340,Can @DavidCornDC help Cuckold Conservatives win in 2016!  More cuckoldry please!  #Christie2016 #DonaldTrump #UniteBlue #p2 #SemST,AGAINST
484,"A Black President,Healthcare 4 all, Marriage Equality...what's next?..a Woman President?!Damn RIGHT! #SCOTUS #MarriageEquality #SemST",FAVOR
301,Fox News predicting 3 way marriage-gee we have the Mormons for that!  #morningjoe #unitedblue #SemST,NONE
457,"Overheard at the Davenport open house: ""Oh, I know you from Facebook!"" #DigitalOrganizing #SemST",AGAINST
297,Don't you someday want to see a well qualified candidate by the president of the United States? #ReflectingHillary #SemST,FAVOR
248,".@NewtGingrich on @HillaryClinton: ""She's very formidable... she's a very competent person. #SemST",AGAINST
184,@FoundersGirl @Artist_Angie I want the first female to be competent. #SemST,AGAINST
269,@PolitiBunny @Seja75 @hubbit @HillaryClinton I'm voting in the Democrat primary this year...to support @BernieSanders.  #SemST,AGAINST
216,@petefrt this is how GOP needs to be handling campaign not attacking each other but showing all hillary fails. #uniteright #SemST,AGAINST
63,"@theblaze gee,  what a busy schedule she had. #SemST",AGAINST
153,Don't get it twisted. A major presidential candidate using her first policy speech to talk about mass incarcertaion. #SemST,AGAINST
34,Exciting to hear more about our Fellows all across the country on tonight's call. Special shout-out to the #FellowsIA. #SemST,NONE
28,@SLessard 100% agree. We need a woman like Hillary that can help this country get nursed back together! #SemST,FAVOR
405,I suspect Hillary's Scooby Doo tour is being used as a distraction from ServerGate et al.  #NoObamaThirdTerm #SemST,AGAINST
465,"I'm in a better place now that I got some coffee, now time to grow these grassroots   #sctweets #SemST",NONE
483,If you support @HillaryClinton you are supporting another term of the policies of George W Bush. #democrats #mepolitics #SemST,AGAINST
64,"@LeahR77 @DrMartyFox > With continued #Obama's & @TheDemocrats Admin policymaking, #USA will become #Greece! #WakeUpAmerica #NJ #SemST",AGAINST
117,@WestonMartinez @crazytas62 Cruz needs to autograph bomb #SemST,NONE
116,Fabulous @HillaryClinton ! You hit on every subject and I am proud of you ending on a note of kindness. #HillaryInNH #SemST,FAVOR
304,@CBSThisMorning Emails missing and incomplete? Who'd of thunk it?  I'M ABOVE THE LAW and the rest of you peons! JUST TRUST ME! #SemST,AGAINST
246,@rebeccalipson  #freedom_justice_equality_education for innovation and development to make #happy_life i Utopia #SemST,NONE
161,What a huge win for America! Today is absolutely historic. #EqualityWins #SCOTUSMarriage #SemST,NONE
164,Hillary Clinton vs. Bernie Sanders primary will be like the brawl over applesauce at the retirement home. #ReadyForHillary #SemST,FAVOR
131,Just ordered my Chillary Clinton Koozies. Gotta support the team. #SemST,AGAINST
69,"@HillaryClinton is at the top, and has spent her whole career growing government, keeping the deck stacked. #LibertyNotHillary #SemST",AGAINST
472,.@FoxNews @brithume ok.. So where are these emails coming from? Didnt @HillaryClinton already say the server was erased? #LIES #SemST,AGAINST
