	Stance
908	FAVOR
909	FAVOR
910	AGAINST
911	AGAINST
912	FAVOR
913	FAVOR
914	FAVOR
915	FAVOR
916	FAVOR
917	FAVOR
918	FAVOR
919	NONE
920	FAVOR
921	AGAINST
922	AGAINST
923	FAVOR
924	FAVOR
925	AGAINST
926	FAVOR
927	FAVOR
928	AGAINST
929	FAVOR
930	FAVOR
931	NONE
932	AGAINST
933	FAVOR
934	FAVOR
935	FAVOR
936	FAVOR
937	FAVOR
938	FAVOR
939	NONE
940	NONE
941	FAVOR
942	FAVOR
943	FAVOR
944	FAVOR
945	FAVOR
946	NONE
947	FAVOR
948	AGAINST
949	NONE
950	FAVOR
951	FAVOR
952	FAVOR
953	AGAINST
954	NONE
955	FAVOR
956	AGAINST
957	NONE
958	FAVOR
959	AGAINST
960	NONE
961	AGAINST
962	FAVOR
963	FAVOR
964	NONE
965	FAVOR
966	AGAINST
967	FAVOR
968	FAVOR
969	FAVOR
970	FAVOR
971	FAVOR
972	FAVOR
973	FAVOR
974	FAVOR
975	FAVOR
976	NONE
977	NONE
978	AGAINST
979	NONE
980	FAVOR
981	NONE
982	FAVOR
983	AGAINST
984	AGAINST
985	AGAINST
986	NONE
987	FAVOR
988	FAVOR
989	FAVOR
990	FAVOR
991	NONE
992	FAVOR
993	NONE
994	AGAINST
995	AGAINST
996	NONE
997	AGAINST
998	FAVOR
999	AGAINST
1000	NONE
1001	NONE
1002	FAVOR
1003	FAVOR
1004	NONE
1005	FAVOR
1006	NONE
1007	NONE
1008	AGAINST
1009	AGAINST
1010	NONE
1011	FAVOR
1012	NONE
1013	AGAINST
1014	FAVOR
1015	AGAINST
1016	AGAINST
1017	FAVOR
1018	NONE
1019	FAVOR
1020	AGAINST
1021	AGAINST
1022	AGAINST
1023	FAVOR
1024	NONE
1025	FAVOR
1026	FAVOR
1027	FAVOR
1028	AGAINST
1029	NONE
1030	FAVOR
1031	NONE
1032	FAVOR
1033	AGAINST
1034	AGAINST
1035	FAVOR
1036	AGAINST
1037	NONE
1038	AGAINST
1039	AGAINST
1040	FAVOR
1041	AGAINST
1042	AGAINST
1043	NONE
1044	FAVOR
1045	NONE
1046	AGAINST
1047	NONE
1048	NONE
1049	FAVOR
1050	AGAINST
1051	NONE
1052	AGAINST
1053	AGAINST
1054	AGAINST
1055	AGAINST
1056	AGAINST
1057	FAVOR
1058	AGAINST
1059	FAVOR
1060	FAVOR
1061	FAVOR
1062	NONE
1063	FAVOR
1064	NONE
1065	AGAINST
1066	AGAINST
1067	NONE
1068	NONE
1069	NONE
1070	FAVOR
1071	FAVOR
1072	FAVOR
1073	AGAINST
1074	NONE
1075	AGAINST
1076	AGAINST
1077	AGAINST
1078	FAVOR
1079	FAVOR
1080	FAVOR
1081	AGAINST
1082	AGAINST
1083	FAVOR
1084	AGAINST
1085	FAVOR
1086	NONE
1087	AGAINST
1088	FAVOR
1089	FAVOR
1090	FAVOR
1091	FAVOR
1092	FAVOR
1093	FAVOR
1094	FAVOR
1095	FAVOR
1096	NONE
1097	FAVOR
1098	FAVOR
1099	FAVOR
1100	NONE
1101	FAVOR
1102	AGAINST
1103	AGAINST
1104	FAVOR
1105	NONE
1106	AGAINST
1107	NONE
1108	FAVOR
1109	NONE
1110	NONE
1111	FAVOR
1112	NONE
1113	FAVOR
1114	NONE
1115	NONE
1116	AGAINST
1117	FAVOR
1118	FAVOR
1119	FAVOR
1120	FAVOR
1121	FAVOR
1122	FAVOR
1123	NONE
1124	AGAINST
1125	FAVOR
1126	FAVOR
1127	FAVOR
1128	FAVOR
1129	FAVOR
1130	FAVOR
1131	FAVOR
1132	AGAINST
1133	NONE
1134	AGAINST
1135	FAVOR
1136	FAVOR
1137	FAVOR
1138	FAVOR
1139	FAVOR
1140	FAVOR
1141	NONE
1142	FAVOR
1143	FAVOR
1144	FAVOR
1145	FAVOR
1146	NONE
1147	AGAINST
1148	AGAINST
1149	FAVOR
1150	FAVOR
1151	AGAINST
1152	AGAINST
1153	FAVOR
1154	FAVOR
1155	NONE
1156	NONE
1157	FAVOR
1158	FAVOR
1159	NONE
1160	NONE
1161	AGAINST
1162	FAVOR
1163	AGAINST
1164	AGAINST
1165	NONE
1166	FAVOR
1167	AGAINST
1168	AGAINST
1169	AGAINST
1170	FAVOR
1171	FAVOR
1172	FAVOR
1173	AGAINST
1174	FAVOR
1175	FAVOR
1176	AGAINST
1177	FAVOR
1178	FAVOR
1179	FAVOR
1180	FAVOR
1181	FAVOR
1182	FAVOR
1183	AGAINST
1184	AGAINST
1185	AGAINST
1186	FAVOR
1187	AGAINST
1188	NONE
1189	AGAINST
1190	AGAINST
1191	FAVOR
1192	NONE
1193	NONE
1194	NONE
1195	FAVOR
1196	NONE
1197	AGAINST
1198	AGAINST
1199	NONE
1200	FAVOR
1201	NONE
1202	AGAINST
1203	FAVOR
1204	AGAINST
1205	FAVOR
1206	FAVOR
1207	FAVOR
1208	FAVOR
1209	AGAINST
1210	NONE
1211	FAVOR
1212	AGAINST
1213	AGAINST
1214	AGAINST
1215	AGAINST
1216	AGAINST
1217	NONE
1218	NONE
1219	AGAINST
1220	AGAINST
1221	AGAINST
1222	FAVOR
1223	AGAINST
1224	NONE
1225	AGAINST
1226	AGAINST
1227	NONE
1228	AGAINST
1229	NONE
1230	NONE
1231	FAVOR
1232	NONE
1233	FAVOR
1234	NONE
1235	NONE
1236	AGAINST
1237	NONE
1238	AGAINST
1239	FAVOR
1240	AGAINST
1241	NONE
1242	AGAINST
1243	AGAINST
1244	NONE
1245	FAVOR
1246	NONE
1247	FAVOR
1248	FAVOR
1249	NONE
1250	FAVOR
1251	AGAINST
1252	NONE
1253	FAVOR
1254	NONE
1255	AGAINST
1256	NONE
1257	AGAINST
1258	AGAINST
1259	AGAINST
1260	AGAINST
1261	FAVOR
1262	FAVOR
1263	NONE
1264	FAVOR
1265	NONE
1266	FAVOR
1267	NONE
1268	AGAINST
1269	NONE
1270	AGAINST
1271	FAVOR
1272	FAVOR
1273	FAVOR
1274	NONE
1275	FAVOR
1276	NONE
1277	AGAINST
1278	FAVOR
1279	NONE
1280	NONE
1281	NONE
1282	AGAINST
1283	FAVOR
1284	FAVOR
1285	NONE
1286	NONE
1287	FAVOR
1288	NONE
1289	FAVOR
1290	FAVOR
1291	FAVOR
1292	FAVOR
1293	AGAINST
1294	FAVOR
1295	AGAINST
1296	FAVOR
1297	FAVOR
1298	AGAINST
1299	AGAINST
1300	AGAINST
1301	AGAINST
1302	AGAINST
1303	AGAINST
1304	AGAINST
1305	AGAINST
1306	AGAINST
1307	AGAINST
1308	FAVOR
1309	AGAINST
1310	NONE
1311	FAVOR
1312	FAVOR
1313	NONE
1314	NONE
1315	FAVOR
1316	AGAINST
1317	NONE
1318	FAVOR
1319	FAVOR
1320	NONE
1321	AGAINST
1322	NONE
1323	NONE
1324	AGAINST
1325	FAVOR
1326	FAVOR
1327	FAVOR
1328	AGAINST
1329	NONE
1330	AGAINST
1331	NONE
1332	FAVOR
1333	AGAINST
1334	FAVOR
1335	FAVOR
1336	AGAINST
1337	AGAINST
1338	NONE
1339	AGAINST
1340	AGAINST
1341	NONE
1342	AGAINST
1343	NONE
1344	NONE
1345	AGAINST
1346	FAVOR
1347	FAVOR
1348	AGAINST
1349	AGAINST
1350	AGAINST
1351	NONE
