	Stance
513	FAVOR
514	FAVOR
515	FAVOR
516	FAVOR
517	FAVOR
518	FAVOR
519	FAVOR
520	FAVOR
521	FAVOR
522	AGAINST
523	FAVOR
524	FAVOR
525	FAVOR
526	FAVOR
527	FAVOR
528	FAVOR
529	FAVOR
530	FAVOR
531	NONE
532	NONE
533	FAVOR
534	FAVOR
535	NONE
536	FAVOR
537	FAVOR
538	FAVOR
539	FAVOR
540	NONE
541	FAVOR
542	NONE
543	NONE
544	FAVOR
545	NONE
546	NONE
547	NONE
548	NONE
549	NONE
550	FAVOR
551	FAVOR
552	NONE
553	FAVOR
554	FAVOR
555	NONE
556	FAVOR
557	NONE
558	NONE
559	AGAINST
560	FAVOR
561	FAVOR
562	FAVOR
563	NONE
564	FAVOR
565	NONE
566	FAVOR
567	NONE
568	FAVOR
569	NONE
570	NONE
571	NONE
572	NONE
573	NONE
574	NONE
575	FAVOR
576	FAVOR
577	FAVOR
578	NONE
579	NONE
580	NONE
581	FAVOR
582	FAVOR
583	FAVOR
584	NONE
585	NONE
586	NONE
587	AGAINST
588	NONE
589	FAVOR
590	NONE
591	FAVOR
592	AGAINST
593	NONE
594	NONE
595	NONE
596	NONE
597	FAVOR
598	FAVOR
599	NONE
600	FAVOR
601	NONE
602	FAVOR
603	NONE
604	FAVOR
605	NONE
606	FAVOR
607	NONE
608	NONE
609	NONE
610	NONE
611	NONE
612	FAVOR
613	NONE
614	FAVOR
615	FAVOR
616	NONE
617	FAVOR
618	NONE
619	FAVOR
620	FAVOR
621	FAVOR
622	NONE
623	NONE
624	FAVOR
625	FAVOR
626	NONE
627	FAVOR
628	NONE
629	NONE
630	NONE
631	FAVOR
632	FAVOR
633	NONE
634	FAVOR
635	FAVOR
636	NONE
637	NONE
638	NONE
639	FAVOR
640	FAVOR
641	NONE
642	NONE
643	NONE
644	NONE
645	FAVOR
646	NONE
647	FAVOR
648	NONE
649	FAVOR
650	NONE
651	NONE
652	NONE
653	NONE
654	FAVOR
655	NONE
656	FAVOR
657	FAVOR
658	NONE
659	FAVOR
660	FAVOR
661	NONE
662	NONE
663	FAVOR
664	FAVOR
665	FAVOR
666	NONE
667	FAVOR
668	NONE
669	NONE
670	FAVOR
671	FAVOR
672	FAVOR
673	NONE
674	FAVOR
675	FAVOR
676	FAVOR
677	FAVOR
678	NONE
679	NONE
680	NONE
681	FAVOR
682	NONE
683	NONE
684	FAVOR
685	FAVOR
686	FAVOR
687	NONE
688	FAVOR
689	NONE
690	NONE
691	FAVOR
692	NONE
693	FAVOR
694	NONE
695	FAVOR
696	FAVOR
697	FAVOR
