	Stance
0	AGAINST
1	AGAINST
2	AGAINST
3	AGAINST
4	AGAINST
5	AGAINST
6	AGAINST
7	FAVOR
8	NONE
9	NONE
10	FAVOR
11	AGAINST
12	AGAINST
13	AGAINST
14	AGAINST
15	AGAINST
16	NONE
17	AGAINST
18	FAVOR
19	AGAINST
20	AGAINST
21	FAVOR
22	NONE
23	AGAINST
24	AGAINST
25	FAVOR
26	AGAINST
27	AGAINST
28	AGAINST
29	NONE
30	AGAINST
31	AGAINST
32	AGAINST
33	FAVOR
34	NONE
35	AGAINST
36	NONE
37	AGAINST
38	AGAINST
39	AGAINST
40	AGAINST
41	AGAINST
42	AGAINST
43	AGAINST
44	AGAINST
45	FAVOR
46	FAVOR
47	NONE
48	AGAINST
49	FAVOR
50	FAVOR
51	AGAINST
52	FAVOR
53	AGAINST
54	AGAINST
55	NONE
56	FAVOR
57	FAVOR
58	NONE
59	FAVOR
60	AGAINST
61	NONE
62	FAVOR
63	NONE
64	AGAINST
65	AGAINST
66	AGAINST
67	AGAINST
68	AGAINST
69	AGAINST
70	FAVOR
71	AGAINST
72	AGAINST
73	AGAINST
74	FAVOR
75	AGAINST
76	NONE
77	FAVOR
78	FAVOR
79	NONE
80	AGAINST
81	AGAINST
82	FAVOR
83	NONE
84	AGAINST
85	NONE
86	NONE
87	AGAINST
88	AGAINST
89	AGAINST
90	NONE
91	AGAINST
92	AGAINST
93	AGAINST
94	AGAINST
95	AGAINST
96	FAVOR
97	AGAINST
98	AGAINST
99	FAVOR
100	AGAINST
101	FAVOR
102	FAVOR
103	FAVOR
104	AGAINST
105	AGAINST
106	AGAINST
107	AGAINST
108	FAVOR
109	FAVOR
110	AGAINST
111	NONE
112	NONE
113	AGAINST
114	AGAINST
115	AGAINST
116	AGAINST
117	AGAINST
118	FAVOR
119	FAVOR
120	AGAINST
121	AGAINST
122	AGAINST
123	AGAINST
124	NONE
125	FAVOR
126	AGAINST
127	NONE
128	AGAINST
129	FAVOR
130	AGAINST
131	AGAINST
132	AGAINST
133	AGAINST
134	AGAINST
135	AGAINST
136	NONE
137	AGAINST
138	AGAINST
139	AGAINST
140	AGAINST
141	FAVOR
142	AGAINST
143	FAVOR
144	FAVOR
145	FAVOR
146	AGAINST
147	NONE
148	AGAINST
149	AGAINST
150	NONE
151	AGAINST
152	NONE
153	FAVOR
154	AGAINST
155	AGAINST
156	NONE
157	AGAINST
158	FAVOR
159	NONE
160	AGAINST
161	AGAINST
162	AGAINST
163	AGAINST
164	AGAINST
165	NONE
166	AGAINST
167	AGAINST
168	AGAINST
169	AGAINST
170	AGAINST
171	AGAINST
172	NONE
173	NONE
174	AGAINST
175	AGAINST
176	FAVOR
177	NONE
178	NONE
179	AGAINST
180	NONE
181	NONE
182	AGAINST
183	AGAINST
184	NONE
185	NONE
186	FAVOR
187	AGAINST
188	AGAINST
189	AGAINST
190	NONE
191	AGAINST
192	AGAINST
193	AGAINST
194	AGAINST
195	AGAINST
196	AGAINST
197	FAVOR
198	AGAINST
199	FAVOR
200	NONE
201	AGAINST
202	NONE
203	NONE
204	NONE
205	AGAINST
206	NONE
207	FAVOR
208	AGAINST
209	NONE
210	AGAINST
211	AGAINST
212	AGAINST
213	NONE
214	NONE
215	NONE
216	NONE
217	NONE
218	NONE
219	NONE
220	NONE
221	NONE
222	NONE
223	NONE
224	FAVOR
225	AGAINST
226	FAVOR
227	FAVOR
228	AGAINST
229	FAVOR
230	NONE
231	NONE
232	FAVOR
233	FAVOR
234	NONE
235	NONE
236	NONE
237	NONE
238	FAVOR
239	NONE
240	NONE
241	FAVOR
242	AGAINST
243	NONE
244	NONE
245	AGAINST
246	NONE
247	NONE
248	FAVOR
249	FAVOR
250	NONE
251	NONE
252	FAVOR
253	FAVOR
254	FAVOR
255	FAVOR
256	NONE
257	AGAINST
258	AGAINST
259	AGAINST
260	FAVOR
261	AGAINST
262	NONE
263	NONE
264	NONE
265	NONE
266	AGAINST
267	NONE
268	NONE
269	NONE
270	AGAINST
271	AGAINST
272	AGAINST
273	NONE
274	FAVOR
275	AGAINST
276	AGAINST
277	NONE
278	NONE
279	AGAINST
280	AGAINST
281	NONE
282	FAVOR
283	AGAINST
284	NONE
285	NONE
286	NONE
287	AGAINST
288	NONE
289	AGAINST
290	AGAINST
291	AGAINST
292	AGAINST
293	NONE
294	FAVOR
295	AGAINST
296	AGAINST
297	AGAINST
298	AGAINST
299	AGAINST
300	AGAINST
301	NONE
302	AGAINST
303	AGAINST
304	AGAINST
305	FAVOR
306	FAVOR
307	AGAINST
308	FAVOR
309	AGAINST
310	FAVOR
311	NONE
312	FAVOR
313	NONE
314	FAVOR
315	AGAINST
316	FAVOR
317	AGAINST
318	AGAINST
319	AGAINST
320	AGAINST
321	AGAINST
322	AGAINST
323	NONE
324	FAVOR
325	NONE
326	FAVOR
327	FAVOR
328	NONE
329	FAVOR
330	FAVOR
331	AGAINST
332	AGAINST
333	NONE
334	FAVOR
335	NONE
336	FAVOR
337	AGAINST
338	FAVOR
339	AGAINST
340	NONE
341	FAVOR
342	NONE
343	AGAINST
344	AGAINST
345	AGAINST
346	AGAINST
347	NONE
348	NONE
349	FAVOR
350	AGAINST
351	AGAINST
352	NONE
353	FAVOR
354	AGAINST
355	AGAINST
356	AGAINST
357	AGAINST
