index,text,label
137,"The natural world is part of our inheritance, we have to protect it  @Sir_Attenboroug with @POTUS on #BBC #Earth #SemST",FAVOR
258,#Equity #financial #solidarity and #transparency is what #2015text needs says #Fabius at #UN #GA #SemST,NONE
296,"Without a place for feeding, mating and giving birth, there is no future for polar bears :( #SemST",FAVOR
77,[Man] cannot change the climate of any country; he adds no new element to the soil ~ Charles Darwin #anthropocene #SemST,AGAINST
180,"I love this Pope. I don't care what religion you are, this guy is awesome. #SemST",NONE
106,"Thx @susanbowenphoto @Omaniblog had fun in my home county, will be back later this summer with @castellscarmen-catching up 4 #SemST",NONE
315,@RepTomMarino my priority is to address #SemST,NONE
110,GlblWarmingNews And the tooth fairy might be causing kids to lose teeth! #carbontaxscam #Chemtrails #SemST,AGAINST
244,Thanks #MarcLevine & #Ilike_Mike for supporting legislation on #SemST,NONE
209,"With no rain in the next 5 days, it would have been the driest June in #Santiago de #Chile in morden history. #SemST",FAVOR
316,#Mission:#Climate @ home > Opt for reusable bags instead of plastic bags (by @gaiam) #Tip #ActOnClimate #SemST,FAVOR
147,"So, its 20 degrees celcius in mendoza argentina beginning of winter  #mendoza #SemST",FAVOR
187,I'm in hell. I feel the fiery tips of insidious flames swiftly sauntering into my room. Or maybe I don't have AC #SemST,NONE
20,The #MNTwins game is going really fast tonight. More proof of #SemST,NONE
90,Why is there no #CaptainPlanet movie??? Rt if u want one. #environment #planet #earth #SemST,NONE
99,Fossil fuel divestment won't necessarily stop climate change but it is a step in the right direction. #keepitintheground #SemST,FAVOR
277,Sir David Attenborough and @BarackObama  dissgussing the planet future. The room doesn't get any better than this. #SemST,FAVOR
299,@realDonaldTrump - You are not very smart Donald #SemST,NONE
166,"Thank you to all our 300 followers, helping us to raise awareness of #HumanRights #SOSEurope #prisonersofconscience #torture #SemST",NONE
64,"@LiberalAus - #Wrong #century re the #IPCCreport & the involved #methodology I do have to say, ""regards Dion #peace #ideology #SemST",NONE
121,#Technology is a sign of how far we have come! The #ideology of #capitalism is a sign of how far we have to go! #Methodology #SemST,NONE
40,Working with artists & culture is key to weave through the efforts we're doing #grassroots #SemST,NONE
207,@NZStuffBusiness Time to change the Government! #fracking #C02 #methane #pollution #cancer #health #earthquake #water #leaks #SemST,FAVOR
250,@popupincubator #innovation of super converter on fishing boat w/ no more use of fossil fuel is looking for funding scheme in #SemST,FAVOR
276,#MainauDeclaration2015.....lets push the Agenga worldwide without any fear #climatejustice2015 #SemST,FAVOR
305,#Mission:#Climate @ home > Wrap your water heater in an insulation blanket #Tip #ActOnClimate #SemST,FAVOR
11,"After the Millennials come the Apocalypticals. Thanks, breeders. #overpopulation #SemST",NONE
208,@FlyingFree333 wow that is certainly an extreme prognostication! #gop #libertarian #SemST,NONE
23,. @JanezPotocnik22:The EU is spending the 300 billion collected through environmental tax on fossil fuel subsidies #Almedalen #SemST,FAVOR
231,"Cause and Effect - Dry conditions, wildfires.  #Preventable #HumanCaused #SemST",FAVOR
282,Vallaud-Belkacem: Are we the generation who knew what would happen but who did nothing? Say no! #wakeup #CFCC15 #SemST,FAVOR
254,So #Christian s...  Without beaches what is your God going to make sand people out of?  #RisingSeaLevel #SemST,FAVOR
232,Sea level rise by the end of the century (1-2 meters) will drown SF airport and LA port. @IVelicogna #WithCompassion #SemST,FAVOR
291,@osteomath @capitalweather Funny how you all of a sudden refer to him as a weatherman now  #climatechange...weather. #SemST,FAVOR
12,#MainauDeclaration2015 60 years later..#LiNo15 Laureates and young scientists say it is time to act #SemST,FAVOR
237,what is at stake is the survival of our and next generation - Indigenous People Youth #UNGA #Action2015 #COP21 #SemST,FAVOR
198,@davidswann says he wants carbon fund to be spent on public transportation and renewable energy. #ejlive #ableg #SemST,FAVOR
211,"Around 1500 new homes being built every year in England in areas at high risk of #floods, adding to risk from #UKClimate2015 #SemST",FAVOR
283,John Watterson is attending IPPC meeting to help shape the future of international greenhouse gas emission estimation methods #SemST,FAVOR
61,.@MexONU : #GreenClimateFund projects must be long-lasting & lay the groundwork for low-carbon development economic models #SemST,FAVOR
69,We are working to elect climate-friendly governments across North America #FeelTheBern #NDP #LPC #GPC #BQ #HARPERPAC.CA #SemST,FAVOR
70,"@rupertmurdoch - feel! I'll bin this one & upload a newer mix in a few days see which version you like better, re's D #peace #SemST",NONE
8,"#TakeDownTheFlag & #LoveWins represent tectonic cultural shifts, thanks in no small part 2 Twitter & Facebook. Imagine same 4 #SemST",NONE
206,Sunny  Rainy bipolar weather. Wow real quick ma nigga #SemST,NONE
1,#AnnapurnaVancheswaran says it took 2 years to cut through the #bureaucracy & speak to Indian #government about #pivotal15 #SemST,NONE
210,Most people say that it is the intellect which makes a great scientist. They are wrong: it is character. ~ Albert Einstein  #SemST,NONE
188,"What a great week for social issues #SCOTUS Now, let's get to work on #environment and #SemST",FAVOR
252,"#Mission:#Climate @ home > Pass your magazines on to a friend, hospital, library, or nursing home. (by @gaiam) #Tip #SemST",FAVOR
28,@kyjl89 it's crazy. Oklahoma is bracing for more flooding rains (4th cycle this year) & Canada is burning. #SemST,FAVOR
162,".@solarimpulse I see this pick up on the rwy with the ""Follow me Andr"" sign... It should be the other way round ! #SemST",NONE
53,"If you say climate change is a myth, you may want to become a fantasy author since you already live in an alternate reality. #SemST",FAVOR
18,@washingtonpost That is one of the most INSANE and DELUSIONAL quotes I've ever seen.  #tcot #tlot #SemST,NONE
34,The best call still and will always be Matt in Cleveland. #KirstieAllie #ValKilmer #SemST,NONE
76,"One day it will be clear that someone has changed their opinion due 2 one or more of my tweets, but I'm not holding my breath #SemST",NONE
65,@jimrome I think the 5k has got them gripping Romey #SmackOff #valkilmer #seeingwonder #SemST,NONE
92,#Transpregnancy #transgender is a major reason why scientists can't find a cure to #cancer #aids #SemST,NONE
63,RT @MediaRage: One of the most brilliant BS stories created by man to subjugate others:  #LeftistLiesIsBS #SemST,NONE
253,V @QueenNoor V @Guardian The Biggest Story In World Podcast @WhiteHouse @AlGore @TheHill of @GOP STUPIDITY And IGNORANCE! #SemST,NONE
